source_excel_row,brand,inferred_brand_method,tsw_supplier_sku,manufacturer_part_number,Categaory,prod,countryoforigin,tariffcd,eccnclasscd,Prod Description,Stocking Unit,Selling Unit,Selling_Conv,weight,Length,Width,Height,Pack Qty,BOX Qty,CASE Qty,CTN Qty,PLT Qty,All_Barcodes,UPC_List
4718,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050193F,050193F,AUTOMATIC TT PARTS,TTT050193F,US,8205595560,,FILLER CAP,EACH,EACH,1,0.3535,4,4,0.75,,,,,,,
4719,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050195,050195,AUTOMATIC TT PARTS,TTT050195,US,8205595560,,SIDE PLATE SPACER TAPETECH,EACH,EACH,1,0.003,0.75,0.25,0.25,,,,,,,
4720,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050196,050196,AUTOMATIC TT PARTS,TTT050196,US,8205595560,,DRIVE CHAIN,EACH,EACH,1,0.016,2.6,1,0.25,,,,,,,
4721,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050197,050197,AUTOMATIC TT PARTS,TTT050197,,,,RUBBER BOOT,EACH,EACH,1,0.002,,,,,,,,,,
4722,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050198,050198,AUTOMATIC TT PARTS,TTT050198,US,8205595560,,CONTROL ARM GUIDE FOR TAPER TAPETECH,EACH,EACH,1,0.005,1.3,0.5,0.25,,,,,,,
4723,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050199,050199,AUTOMATIC TT PARTS,TTT050199,US,8205595560,,TAPER BAND TAPETECH,EACH,EACH,1,0.029,4.9,0.75,0.25,,,,,,,
4724,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050202,050202,AUTOMATIC TT PARTS,TTT050202,US,8205595560,,SPOOL MOUNT TAPETECH,EACH,EACH,1,0.008,1.65,0.4,0.3,,,,,,,
4725,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050205,050205,AUTOMATIC TT PARTS,TTT050205,US,8205595560,,TRIGGER SLIDE,EACH,EACH,1,0.002,1,0.5,0.1,,,,,,,
4726,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050206,050206,AUTOMATIC TT PARTS,TTT050206,US,8205595560,,WIREFORM,EACH,EACH,1,0.003,1,0.5,0.1,,,,,,,
4727,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050208,050208,AUTOMATIC TT PARTS,TTT050208,US,8205595560,,DOOR SPRING,EACH,EACH,1,0.01,1.5,1,0.1,,,,,,,
4728,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050215,050215,AUTOMATIC TT PARTS,TTT050215,,,,PLUNGER RELEASE PIN,EACH,EACH,1,0.001,,,,,,,,,,
4729,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050216F,050216F,AUTOMATIC TT PARTS,TTT050216F,,,,GOOSER CHAIN ROLLER,EACH,EACH,1,0.001,,,,,,,,,,
4730,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050219,050219,AUTOMATIC TT PARTS,TTT050219,US,8205595560,,GOOSER CAM LOCK,EACH,EACH,1,0.0115,1.2,0.5,0.25,,,,,,,
4731,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050231,050231,AUTOMATIC TT PARTS,TTT050231,US,8205595560,,SIDE PLATE 07TT,EACH,EACH,1,0.055,8.75,7.5,0.1,,,,,,,
4732,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050232F,050232F,AUTOMATIC TT PARTS,TTT050232F,US,8205595560,,DOOR SIDE PLATE 07TT,EACH,EACH,1,0.245,7.5,7.5,0.25,,,,,,,
4733,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050234F,050234F,AUTOMATIC TT PARTS,TTT050234F,US,8205595560,,FILLER ADAPTER,EACH,EACH,1,0.051,1.5,1.5,1.5,,,,,,,
4734,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050236,050236,AUTOMATIC TT PARTS,TTT050236,,,,TAPER CROSS BAR,EACH,EACH,1,0.056,,,,,,,,,,
4735,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050237,050237,AUTOMATIC TT PARTS,TTT050237,US,8205595560,,SPRING CATCHER WELDMENT,EACH,EACH,1,0.05,1.5,1.5,0.25,,,,,,,
4736,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050239,050239,AUTOMATIC TT PARTS,TTT050239,US,8205595560,,WASHER INFLATEABLE BLADDER,EACH,EACH,1,0.006,0.75,0.75,0.1,,,,,,,
4737,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050241,050241,AUTOMATIC TT PARTS,TTT050241,US,8205595560,,CAP RETAINER,EACH,EACH,1,0.003,0.75,0.75,0.1,,,,,,,
4738,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050243,050243,AUTOMATIC TT PARTS,TTT050243,US,8205595560,,CABLE DRUM DRIVE DOG,EACH,EACH,1,0.002,0.5,0.5,0.1,,,,,,,
4739,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050247,050247,AUTOMATIC TT PARTS,TTT050247,US,8205595560,,SWIVEL KNOB,EACH,EACH,1,0.097,3,1.75,1.75,,,,,,,
4740,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050248,050248,AUTOMATIC TT PARTS,TTT050248,US,8205595560,,FILLER VALVE CONNECTOR,EACH,EACH,1,0.021,0.75,0.75,1,,,,,,,
4741,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050249F,050249F,AUTOMATIC TT PARTS,TTT050249F,US,8205595560,,LEVEL WIND BRACKET,EACH,EACH,1,0.036,3,1.25,0.25,,,,,,,
4742,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050250F,050250F,AUTOMATIC TT PARTS,TTT050250F,US,8205595560,,REEL BEARING,EACH,EACH,1,0.004,0.5,0.5,0.25,,,,,,,
4743,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050252F,050252F,AUTOMATIC TT PARTS,TTT050252F,US,8205595560,,BEARING HOUSING,EACH,EACH,1,0.0895,1.8,1.8,0.3,,,,,,,
