sku,name,type,brand,categories,regular_price,sale_price,effective_price,cogs,map_price,gross_profit,current_gross_margin_pct,regular_gross_margin_pct,current_markup_pct,map_gross_margin_pct,comparison_target_margin_pct,target_margin_price,allowable_cost_at_current_price,cost_gap_vs_target,map_violation
FMH,Columbia UHMW Mud Applicator - L-Trim,variation,Columbia Tools,(Uncategorized),98.00,,98.00,60.09,91.93,37.91,38.68,38.68,63.09,34.64,30.00,85.85,68.60,-8.51,0
IA90,Columbia UHMW Mud Applicator - Inside 90°,variation,Columbia Tools,(Uncategorized),98.00,,98.00,60.09,91.93,37.91,38.68,38.68,63.09,34.64,30.00,85.85,68.60,-8.51,0
OA90,Columbia UHMW Mud Applicator - Outside 90°,variation,Columbia Tools,(Uncategorized),98.00,,98.00,60.09,91.93,37.91,38.68,38.68,63.09,34.64,30.00,85.85,68.60,-8.51,0
OA90-325,Columbia UHMW Mud Applicator - Outside 90° 325,variation,Columbia Tools,(Uncategorized),91.93,,91.93,,91.93,,,,,,30.00,,64.35,,0
SACS,Columbia Commando Set,simple,Columbia Tools,Drywall Finishing Tools > Automatic Taping Tools > Automatic Taping Tool Sets,1157.93,,1157.93,718.35,1157.93,439.58,37.96,37.96,61.19,37.96,30.00,1026.22,810.55,-92.20,0
CPFP,Columbia PowerFill 3.5 Pro Series Cordless Loading Pump,simple,Columbia Tools,Drywall Finishing Tools > Automatic Taping Tools > Loading Pumps,1473.00,,1473.00,990.71,1249.00,482.29,32.74,32.74,48.68,20.68,30.00,1415.30,1031.10,-40.39,0
CPFGN,Columbia Powerfill 5 Gallon Taper Gooseneck Fill Tube,simple,Columbia Tools,Drywall Finishing Tools > Automatic Taping Tools > Goosenecks,275.00,,275.00,160.99,185.00,114.01,41.46,41.46,70.82,12.98,30.00,229.99,192.50,-31.51,0
FA280,#10 Belleville Washer,simple,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,1.00,0.32,,0.68,68.00,68.00,212.50,,30.00,0.46,0.70,-0.38,0
FA268,#10 Flat Washer,simple,Columbia Tools,Drywall Finishing Tools > Parts,2.25,,2.25,0.32,,1.93,85.78,85.78,603.12,,30.00,0.46,1.58,-1.26,0
FA270,"#10 x 3/4"" Fender Washer",simple,Columbia Tools,Drywall Finishing Tools > Parts,2.50,,2.50,0.89,,1.61,64.40,64.40,180.90,,30.00,1.28,1.75,-0.86,0
FA228,#6 Flat Washer,simple,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,1.00,,,,,,,,30.00,,0.70,,0
FA229,#6 Lock Washer,simple,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,1.00,,,,,,,,30.00,,0.70,,0
FA230,#6 Star Washer,simple,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,1.00,,,,,,,,30.00,,0.70,,0
FA253,#8 Flat Washer,simple,Columbia Tools,Drywall Finishing Tools > Parts,1.85,,1.85,0.32,,1.53,82.70,82.70,478.12,,30.00,0.46,1.30,-0.98,0
FA252,#8 Star Washer,simple,Columbia Tools,Drywall Finishing Tools > Parts,2.05,,2.05,0.32,,1.73,84.39,84.39,540.62,,30.00,0.46,1.44,-1.12,0
FA202,"1/16 X 1/2"" Cotter Pin",simple,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,1.00,,,,,,,,30.00,,0.70,,0
FA200,"1/16 x 1/4"" Split Pin",simple,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,1.00,,,,,,,,30.00,,0.70,,0
FA203,"1/16 x 3/4"" Cotter Pin",simple,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,1.00,,,,,,,,30.00,,0.70,,0
FA3,"1/2"" x 7/8"" Flat Washer",simple,Columbia Tools,Drywall Finishing Tools > Parts,2.50,,2.50,0.89,,1.61,64.40,64.40,180.90,,30.00,1.28,1.75,-0.86,0
CT109,1/4 - 20 Hex Nut,simple,Columbia Tools,Drywall Finishing Tools > Parts,6.00,,6.00,2.72,,3.28,54.67,54.67,120.59,,30.00,3.89,4.20,-1.48,0
FA296,"1/4 -20 x 1/2"" Hex Bolt",simple,Columbia Tools,Drywall Finishing Tools > Parts,3.35,,3.35,0.41,,2.94,87.76,87.76,717.07,,30.00,0.59,2.34,-1.93,0
FA295,"1/4 x 1/2"" Flathead Socket",simple,Columbia Tools,Drywall Finishing Tools > Parts,3.45,,3.45,0.32,,3.13,90.72,90.72,978.12,,30.00,0.46,2.42,-2.10,0
FA379,"1/4"" SS E-Clip",simple,Columbia Tools,Drywall Finishing Tools > Parts,3.25,,3.25,1.71,,1.54,47.38,47.38,90.06,,30.00,2.45,2.28,-0.57,0
FA286,"1/4"" x 1/2"" Flat Washer",simple,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,1.00,,,,,,,,30.00,,0.70,,0
FA288,"1/4"" X 3/4"" Split Pin",simple,Columbia Tools,Drywall Finishing Tools > Parts,2.25,,2.25,,,,,,,,30.00,,1.58,,0
FA291,1/4-20 Hex Nut,simple,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,2.00,,,,,,,,30.00,,1.40,,0
FA299,"1/4-20 x 1 1/2"" Pan Phillips",simple,Columbia Tools,Drywall Finishing Tools > Parts,4.00,,4.00,,,,,,,,30.00,,2.80,,0
FA313,1/4-20 X 1/4 Socket Head Set Screw,simple,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,2.00,,,,,,,,30.00,,1.40,,0
FA301,"1/4-20 x 2 1/4"" Hex Bolt",simple,Columbia Tools,Drywall Finishing Tools > Parts,3.00,,3.00,,,,,,,,30.00,,2.10,,0
FA300,"1/4-20 x 2"" Hex Bolt",simple,Columbia Tools,Drywall Finishing Tools > Parts,4.25,,4.25,1.63,,2.62,61.65,61.65,160.74,,30.00,2.33,2.98,-1.35,0
FA294,"1/4-20 x 38"" Socket",simple,Columbia Tools,Drywall Finishing Tools > Parts,3.25,,3.25,1.21,,2.04,62.77,62.77,168.60,,30.00,1.73,2.28,-1.07,0
FA297,"1/4-20 x 5/8"" Socket",simple,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,2.00,,,,,,,,30.00,,1.40,,0
FA298,"1/4-20 x 7/8"" Flat Socket",simple,Columbia Tools,Drywall Finishing Tools > Parts,2.85,,2.85,0.32,,2.53,88.77,88.77,790.62,,30.00,0.46,2.00,-1.68,0
FA302,"1/4-28 x 1/4"" Set Screw",simple,Columbia Tools,Drywall Finishing Tools > Parts,3.85,,3.85,0.89,,2.96,76.88,76.88,332.58,,30.00,1.28,2.70,-1.81,0
FA320,"1/4-28-3/8"" Socket Set Screw",simple,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,2.00,,,,,,,,30.00,,1.40,,0
HFFB14-8,"Flat Box Hinged Door Gasket - 8""",variation,Columbia Tools,(Uncategorized),16.50,,16.50,,,,,,,,30.00,,11.55,,0
HFFB14-10,"Flat Box Hinged Door Gasket - 10""",variation,Columbia Tools,(Uncategorized),42.00,,42.00,,,,,,,,30.00,,29.40,,0
HFFB14-12,"Flat Box Hinged Door Gasket - 12""",variation,Columbia Tools,(Uncategorized),42.00,,42.00,,,,,,,,30.00,,29.40,,0
HFFB14-14,"Flat Box Hinged Door Gasket - 14""",variation,Columbia Tools,(Uncategorized),42.00,,42.00,,,,,,,,30.00,,29.40,,0
FFB25-10,"Rubber Gasket Retainer - 10""",variation,Columbia Tools,(Uncategorized),24.95,,24.95,,,,,,,,30.00,,17.46,,0
FFB25-12,"Rubber Gasket Retainer - 12""",variation,Columbia Tools,(Uncategorized),28.50,,28.50,,,,,,,,30.00,,19.95,,0
AH3-2,"Top Blade - 2""",variation,Columbia Tools,(Uncategorized),38.95,,38.95,18.72,,20.23,51.94,51.94,108.07,,30.00,26.75,27.26,-8.54,0
AH3-2.5,"Top Blade - 2.5""",variation,Columbia Tools,(Uncategorized),25.00,,25.00,18.72,,6.28,25.12,25.12,33.55,,30.00,26.75,17.50,1.22,0
AH3-3,"Top Blade - 3""",variation,Columbia Tools,(Uncategorized),44.95,,44.95,18.72,,26.23,58.35,58.35,140.12,,30.00,26.75,31.46,-12.74,0
AH3-3.5,"Top Blade - 3.5""",variation,Columbia Tools,(Uncategorized),25.00,,25.00,18.72,,6.28,25.12,25.12,33.55,,30.00,26.75,17.50,1.22,0
FA380,"1/8"" SS E-Clip",simple,Columbia Tools,Drywall Finishing Tools > Parts,2.95,,2.95,1.71,,1.24,42.03,42.03,72.51,,30.00,2.45,2.06,-0.35,0
FA225,"1/8"" x 3/8"" Rivet Shoulder Washer",simple,Columbia Tools,Drywall Finishing Tools > Parts,2.05,,2.05,0.89,,1.16,56.59,56.59,130.34,,30.00,1.28,1.44,-0.55,0
FA224,"1/8"" x 3/8"" Split Pin",simple,Columbia Tools,Drywall Finishing Tools > Parts,1.95,,1.95,0.48,,1.47,75.38,75.38,306.25,,30.00,0.69,1.36,-0.88,0
FA271,10-24 Nyloc Nut,simple,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,2.00,,,,,,,,30.00,,1.40,,0
FA272,10-24 Wing Nut,simple,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,2.00,,,,,,,,30.00,,1.40,,0
FA273,"10-24 x 1"" Hex Bolt",simple,Columbia Tools,Drywall Finishing Tools > Parts,3.25,,3.25,0.89,,2.36,72.62,72.62,265.17,,30.00,1.28,2.28,-1.39,0
